cleaned_name,AmountUSDMillions,AmountUSDMillions_top95_winsorized,AmountUSDMillions_top99_winsorized,original_MinMax_Scaled_Value,winsorized_95_MinMax_Scaled_Value,winsorized_99_MinMax_Scaled_Value
allworth financial,0.022116528977941568,0.022116528977941568,0.022116528977941568,4.4230974308272814e-07,0.000162747355685749,1.117508420318513e-05
alpha advisors,0.1378201020585846,0.1378201020585846,0.1378201020585846,2.7562811769323627e-06,0.0010141704542742701,6.963824496651959e-05
alpha japan asset advisors,0.07897283419322539,0.07897283419322539,0.07897283419322539,1.5793866941178133e-06,0.000581133497719165,3.990366382875633e-05
alpha key capital management,2.17650056,2.17650056,2.17650056,4.3528127860836936e-05,0.01601612403545315,0.0010997508005625848
alpha paradigm partners,0.12070593375806801,0.12070593375806801,0.12070593375806801,2.4140126064199482e-06,0.0008882331317160868,6.0990730062321236e-05
alpha partners,0.007393717707198123,0.007393717707198123,0.007393717707198123,1.478662457957865e-07,5.440721321380037e-05,3.7358836729665274e-06
alpha trust,0.002991743904999322,0.002991743904999322,0.002991743904999322,5.983057533517744e-08,2.2014590628486108e-05,1.5116368738243336e-06
alphacore wealth,0.01419906210389386,0.01419906210389386,0.01419906210389386,2.8396725039040707e-07,0.00010448541960729055,7.17451510776741e-06
alphacrest capital management,0.3198717095112303,0.3198717095112303,0.3198717095112303,6.39715593918554e-06,0.002353826089734368,0.00016162600394704226
alphajet fair investors,2.85786553923264e-05,2.85786553923264e-05,2.85786553923264e-05,5.698320512380345e-10,2.096690406989991e-07,1.4396972379303219e-08
alphamark advisors,0.0016141214712897312,0.0016141214712897312,0.0016141214712897312,3.2279317639681835e-08,1.1877137393774297e-05,8.155463411922514e-07
alphatree capital,0.19053335000000002,0.19053335000000002,0.19053335000000002,3.810500564235578e-06,0.0014020692520725331,9.627340416431323e-05
alps advisors,1.7083947878890349,1.7083947878890349,1.7083947878890349,3.416641710424739e-05,0.012571493447596505,0.0008632244575939544
alquity investment management,0.008388198961425022,0.008388198961425022,0.008388198961425022,1.677550111338812e-07,6.172526129492502e-05,4.238379109312879e-06
alta advisers,0.009372318220391987,0.009372318220391987,0.009372318220391987,1.874365455249034e-07,6.896705899002552e-05,4.73563879555592e-06
alte leipziger hallesche,0.024487289746788987,0.024487289746788987,0.024487289746788987,4.897229088955141e-07,0.00018019297491841786,1.2372991616674687e-05
altium wealth management,0.021859611338425504,0.021859611338425504,0.021859611338425504,4.371716124022011e-07,0.00016085678647604658,1.1045267838296423e-05
altman advisors,0.09537239542959576,0.09537239542959576,0.09537239542959576,1.9073637411376126e-06,0.0007018122708252536,4.8190099238506604e-05
altor equity partners,4.857123749550558,4.857123749550558,4.857123749550558,9.713827420620173e-05,0.035741915049743035,0.002454226728176226
altrinsic global advisors,0.6841668235159085,0.6841668235159085,0.6841668235159085,1.3682743279779504e-05,0.005034549480621701,0.00034569848544688833
altrius capital management,0.14399852147327402,0.14399852147327402,0.14399852147327402,2.879844223874472e-06,0.001059635333727629,7.276010125744449e-05
altus tfi,0.0007144030008874713,0.0007144030008874713,0.0007144030008874713,1.4285726053995374e-08,5.2564162912954494e-06,3.6093302047650044e-07
alves ribeiro investimentos financeiros,0.00013842960002274243,0.00013842960002274243,0.00013842960002274243,2.766755975782819e-09,1.0180246443320575e-06,6.990289380366578e-08
alyeska investment,3.79707106816469,3.79707106816469,3.79707106816469,7.593813701257365e-05,0.027941349219130655,0.001918599100788512
amalgamated financial,1.2021959085761045,1.2021959085761045,1.2021959085761045,2.4042877135776183e-05,0.008846548687020603,0.0006074502781840827
amanah khairat yayasan baduya melayurawak,5.70026174377853,5.70026174377853,5.70026174377853,0.00011400030518321399,0.0419462797419462,0.002880250841259314
amanah raya berhad,244.00535069595205,135.8943319079846,244.00535069595205,0.004879896065308005,0.9999999999999999,0.1232919922869731
amanas sdn,4.756925379121344,4.756925379121344,4.756925379121344,9.513439342086171e-05,0.03500458944472562,0.0024035980977661305
