,flag_forest500,forest500_total_score,permid
320,,,4295872682
321,,,5000608755
322,,,4295873051
323,,,5000835277
324,,,4295872847
325,,,4295872929
326,,,4295873625
327,1.0,3.0,4295873232
328,,,4295873594
329,,,4295872971
330,,,4295873244
331,,,4295872683
332,1.0,2.0,4295873809
333,,,4295873048
334,,,5079547017
335,,,4295873558
336,,,4295872420
337,,,4295872868
338,1.0,0.0,4295873612
339,,,4295872671
340,,,4295873358
341,,,4295873522
342,,,4295873072
343,,,4295872567
344,,,5000057319
345,,,4295872666
346,,,4295873645
347,,,4295873151
348,,,5039727858
349,,,4295873581
350,,,4297831382
351,,,4296029025
352,,,4295872261
353,1.0,4.293,4295872395
354,,,4295873131
355,,,4295873230
356,,,4295873541
357,,,4295872955
358,,,4295873286
359,,,4295872608
360,,,4295872857
361,,,4295873497
362,,,5044314714
363,,,4295873315
364,,,4295872463
365,,,5048228147
366,,,4295873022
367,,,4295872481
368,,,4298355438
369,,,4295872905
370,,,4295872495
371,,,4295872442
372,,,4295872706
373,,,4295873970
374,1.0,13.083,4297771460
375,,,4295872275
376,,,4295873396
377,,,5046390743
378,,,4295872801
379,,,4296345744
380,,,4295872797
381,,,4298361764
382,,,4295873450
383,,,4295872223
384,,,4295873455
385,,,4295874136
386,,,4295872667
387,,,4295873624
388,,,4297019576
389,,,4295873383
390,,,4295873204
391,,,5000846144
392,,,4295873703
393,,,4298490816
394,,,4295873290
395,,,4295994245
396,,,4297996629
397,,,4295873248
398,,,4295874156
399,,,4295873600
400,,,4295872981
401,,,5000065770
402,,,4298008737
403,,,4298491642
404,,,5036184241
405,,,4295875714
406,,,4295875731
407,,,5000042928
408,,,4295875798
409,,,4295875832
410,,,4295875399
411,,,4295875484
412,,,4295875844
413,,,4296974975
414,,,5045517782
415,1.0,6.928,4295875726
416,,,5035155584
417,,,5037958512
418,,,5064691048
419,,,5068481270
420,,,4295878407
421,,,4295878402
422,,,4295878450
423,1.0,17.405,5046662606
424,,,4295876559
425,,,4295880380
426,1.0,30.425,4295877401
427,,,4295878485
428,,,5040060532
429,,,4295880516
430,,,4295876894
431,,,5000060796
432,,,4295878790
433,,,4295880332
434,,,5000663094
435,,,4295878674
436,,,4298007773
437,,,4295880166
438,,,5000073379
439,,,4295880610
440,,,4295877869
441,,,4295877874
442,,,4295877273
443,,,4295876936
444,,,4295880530
445,,,4295880697
446,,,4295880528
447,,,4298069335
448,1.0,3.857,4295877156
449,,,4295877413
450,,,4295876913
451,,,4295877429
452,,,5000002397
453,,,4295880544
454,,,4295877395
455,,,4295877744
456,,,4295876890
457,,,4295875973
458,,,5047749911
459,,,4295880440
460,,,5000448124
461,,,4295876951
462,,,4295877089
463,,,5082913340
464,1.0,21.95,4295877428
465,,,4295880695
466,,,4295876953
467,,,4295876646
468,,,4295880698
469,1.0,12.55,4295880522
470,,,4295875926
471,,,4295876130
472,,,4295877430
473,,,5000000997
474,,,4295880690
475,,,4295879777
476,,,4295877392
477,1.0,15.167,4295879828
478,,,4295877928
479,1.0,15.778,4295880490
480,,,4295880494
481,,,4295880812
482,,,4295876961
483,,,4295880344
484,,,4295876100
485,,,4295880577
486,,,4295877659
487,,,4295878091
488,,,4295878431
489,1.0,7.926,4295880501
490,1.0,22.833,4295876861
491,,,4295880487
492,,,4295876884
493,,,4295880504
494,,,4295876960
495,,,5000001896
496,,,4295877478
497,,,4295878523
498,,,4295880644
499,,,4295876950
500,,,4295877505
501,,,4295875908
502,,,4295877420
503,,,4295880696
504,,,4295878807
505,,,4295878265
506,,,4295877182
507,,,4295877859
508,,,4295876922
509,,,4295877240
510,,,4295878899
511,,,4295880559
512,,,4295879813
513,,,4295877357
514,,,4295876533
515,,,4295880685
516,,,4295880671
517,,,4295878856
518,,,5000022643
519,1.0,0.5,4295877096
520,,,4295876067
521,,,4298187707
522,,,8589934237
523,,,4295878436
524,,,4295880820
525,,,4295877178
526,,,4295877616
527,,,5000001016
528,,,4295877332
529,,,4295877325
530,,,4295878511
531,1.0,15.75,4295877191
532,,,4295877366
533,,,4295877398
534,,,4295877355
535,,,4295880496
536,,,4295880562
537,,,4296320095
538,,,5000058303
539,,,4295876948
540,,,4295877797
541,,,4295877318
542,,,4295877485
543,1.0,16.514,4295880543
544,,,4295879814
545,1.0,26.493,4295878505
546,,,4295880607
547,1.0,38.295,4295878766
548,1.0,23.01,4295878477
549,,,4295880542
550,1.0,17.225,4295880570
551,,,4295880549
552,1.0,26.814,5000000933
553,1.0,28.083,4295878046
554,,,4295878784
555,,,4295878534
556,,,4295878040
557,,,4295876965
558,,,4295877223
559,,,4295878909
560,,,4297836741
561,1.0,33.167,4295878521
562,,,4295880372
563,,,4295880116
564,,,5000016754
565,,,4295877489
566,,,4295879042
567,,,4295881557
568,,,4295882081
569,,,4295881619
570,,,4295881554
571,,,4295880893
572,,,4295881084
573,,,4295881548
574,,,4295881204
575,,,4295881057
576,,,4295882451
577,,,4295881164
578,,,4295881194
579,,,4295880956
580,,,4295881235
581,,,4295882105
582,,,4295882010
583,,,4295881575
584,,,4295881473
585,,,5000058587
586,,,4295881647
587,,,4295882039
588,,,4295881967
589,,,5000002354
590,,,4295881801
591,,,4295882057
592,,,4295880996
593,,,4298518644
594,,,4295882012
595,,,4295882311
596,,,4295881898
597,,,4295881970
598,,,4295882058
599,,,4295881976
600,,,5000076514
601,,,4295882372
602,,,4295881039
603,,,4295882001
604,,,4295882551
605,,,4295882718
606,1.0,18.0,4295882465
607,1.0,14.917,4295882291
608,,,4295881997
609,,,5000805170
610,,,5035094574
611,,,5037850179
612,,,5035458824
613,,,5042269104
614,,,5051005999
615,,,5036779363
616,,,5061204125
617,,,5056396714
618,,,5067500816
619,,,5036772845
620,,,5070508789
621,,,4296164279
622,,,5079221808
623,,,5081487133
624,,,5001226017
625,,,5035313533
626,,,5035745657
627,,,4297885323
628,,,4295900973
629,,,4298074526
630,,,4295884351
631,,,4295884344
632,,,4295884368
633,,,4295884319
634,,,4295884274
635,,,4295884540
636,,,4296608184
637,,,5033562161
638,,,4295884284
639,,,4295884333
640,,,4295884300
641,,,4295884395
642,,,4295884321
643,,,4295884382
644,1.0,35.958,4295884506
645,,,4295884360
646,,,4295883135
647,1.0,34.887,4295883663
648,1.0,13.373,4298219772
649,1.0,17.798,4295884238
650,1.0,8.869,4295884204
651,1.0,46.5,4295883100
652,1.0,36.0,4295883331
653,1.0,50.125,4295883159
654,1.0,43.75,5000046644
655,,,4295883085
656,,,4295883150
657,,,4295883091
658,,,4295883826
659,,,5000835890
660,,,4298041637
661,,,5068473158
662,,,4295883291
663,,,4295883279
664,,,5000471355
665,,,4295883746
666,,,4295883487
667,,,5056434400
668,,,5035307122
669,,,4295884808
670,,,4295884844
671,,,4295884692
672,,,4295867372
673,,,4295884627
674,,,4295884738
675,,,4295884546
676,,,4298475354
677,,,4295884869
678,,,5039844145
679,,,5044200057
680,,,5000263797
681,1.0,34.668,5000757618
682,,,5048024162
683,1.0,35.2,4295884672
684,,,5052536757
685,,,4295884730
686,,,5001167004
687,,,5062073775
688,,,5043319761
689,,,5080151828
690,,,5083461547
691,,,4295885408
692,,,4295885483
693,1.0,50.607,4295885572
694,,,4295885456
695,,,5000042454
696,,,4295885702
697,,,5001181730
698,,,5067839661
699,,,4295885127
700,,,4295885237
701,,,4296109900
702,,,4296608799
703,,,4295885015
704,,,4295885076
705,,,4295886209
706,,,4295886255
707,,,4295886362
708,,,4295886326
709,1.0,3.0,5000066211
710,,,4295886348
711,,,4295886136
712,,,4295886268
713,,,4295886343
714,,,4298095588
715,,,4295886112
716,,,4295886205
717,,,4295886118
718,,,4295886385
719,,,4295886478
720,,,5039189248
721,,,4295886468
722,,,4295886699
723,,,4295886555
724,,,4295886575
725,,,4295886629
726,,,4296331194
727,,,4295886834
728,,,4295886732
729,,,4295886931
730,,,4295886959
731,,,4295886939
732,,,4295886960
733,,,4295886938
734,,,4295886925
735,,,4295886955
736,,,4295886916
737,,,5001161721
738,1.0,21.089,4295890262
739,,,4295890329
740,,,4295890078
741,,,4295890008
742,,,4295890312
743,,,4295890182
744,,,4295889991
745,,,4295890024
746,1.0,19.6,8589934200
747,,,4295890335
748,,,4295889996
749,1.0,17.791,8589934289
750,,,4295890065
751,1.0,47.5,4295890323
752,,,4295889856
753,,,4295890290
754,,,4295890395
755,,,4295890156
756,,,4295890035
757,,,4295890339
758,,,8589934190
759,1.0,34.0,5052544698
760,,,4295890003
761,,,5045517379
762,,,5042940248
763,,,4298313842
764,,,4295889804
765,,,4295890097
766,,,4295889840
767,,,4295890141
768,,,5044344586
769,,,4295890013
770,,,4295890203
771,,,4295890178
772,,,5000049975
773,,,4295887379
774,,,4298007743
775,1.0,33.966,4295888106
776,,,5000074278
777,,,5000009200
778,,,4295887444
779,,,4295887845
780,,,4295888118
781,,,4295887834
782,1.0,38.35,4295887677
783,,,5000056385
784,,,4295887849
785,,,4295887850
786,,,5039682224
787,,,5064587290
788,,,5000005870
789,1.0,4.583,4295891064
790,,,4295892119
791,,,4295891294
792,,,4295891330
793,,,4295891518
794,,,4295891508
795,,,4295891102
796,,,4295891340
797,,,4295891357
798,,,4295891343
799,,,4295891735
800,,,4295891425
801,,,4295891506
802,,,4295892120
803,,,4295891582
804,,,4295892104
805,,,4295891534
806,,,4295891500
807,,,4295892127
808,,,4295891942
809,,,4295891823
810,,,4295892226
811,,,4295891641
812,,,4295890973
813,,,4295891739
814,,,4295891750
815,,,4295891056
816,,,4295891726
817,,,4295891515
818,,,4295892112
819,,,4295890992
820,,,4295891032
821,,,4295891563
822,,,4295892099
823,,,4295891740
824,,,4295891738
825,,,4295891741
826,,,4295891729
827,,,4295891733
828,,,4295891754
829,,,4295891777
830,,,4295891782
831,,,4295891775
832,,,4295891185
833,,,4295892665
834,,,4295891561
835,,,4295891687
836,,,4295891767
837,,,4295891683
838,,,4295890996
839,,,4295892600
840,,,4295892285
841,,,4298010164
842,,,5000042263
843,,,5063641915
844,,,4295891757
845,,,5000431932
846,1.0,1.228,4295892129
847,,,5000062256
848,,,5036890083
849,,,5038031804
850,,,4297703294
851,,,5037366205
852,,,5056393183
853,,,4295892214
854,,,5043415252
855,1.0,7.0,4295891367
856,,,4295891333
857,,,4295891368
858,,,4295903261
859,,,4295904853
860,,,4295903265
861,,,5037613143
862,,,4295905431
863,,,4295903417
864,,,4295903297
865,,,4295908720
866,,,5001437821
867,,,4295912422
868,,,5046318067
869,,,4295900190
870,,,4295900840
871,,,5030853586
872,1.0,13.458,4295905494
873,,,4295905501
874,,,4295903329
875,,,4295903336
876,,,5037989355
877,1.0,0.0,4295903341
878,,,4295903388
879,,,4295903374
880,1.0,33.864,4295899980
881,,,4295905537
882,,,4295903393
883,,,4295903438
884,,,4295901784
885,,,5081057199
886,,,4295905573
887,,,4295905583
888,1.0,38.925,4295903463
889,,,5000301936
890,,,5042238586
891,,,4295899478
892,,,5083486063
893,,,4295905642
894,,,4295903514
895,,,4295903490
896,,,4295903478
897,,,5052132612
898,,,4295903492
899,,,4295899766
900,1.0,14.727,8589934339
901,1.0,4.57,5000001034
902,,,4295904421
903,,,4296896513
904,,,4295905713
905,,,4295903556
906,,,5071545370
907,,,4295908554
908,,,4295906748
909,1.0,5.478,4295900990
910,,,4295902706
911,,,4295914598
912,,,5000766723
913,,,4295903602
914,,,4295903585
915,,,4295903586
916,,,4295903619
917,,,4295902623
918,,,5060689053
919,,,4295912025
920,,,4295902917
921,,,4295929900
922,,,4296212311
923,,,4295899323
924,,,4295905803
925,,,4295905810
926,,,5063766000
927,,,4295899615
928,,,4295903636
929,,,4295903665
930,,,4295903627
931,,,4295903637
932,,,5076162916
933,,,4295903679
934,1.0,27.036,4295903649
935,,,4295903652
936,,,4295903651
937,,,4295903654
938,,,4295903702
939,,,5035741840
940,,,5073156222
941,,,5000053849
942,,,4295903678
943,,,4295901893
944,,,4295900986
945,,,4297255547
946,,,4295900112
947,,,4295903707
948,,,4295905949
949,,,5080018615
950,,,4295905955
951,,,4296419629
952,1.0,42.1,4295903733
953,,,4295903091
954,,,4295905973
955,1.0,55.833,4295903113
956,,,4295908573
957,,,4295903775
958,,,5081500884
959,,,4295906048
960,,,4295903798
961,1.0,24.639,4295912987
962,,,4295912984
963,,,5043415536
964,,,4295903809
965,,,4295903829
966,,,4295903861
967,,,4295903833
968,,,4295903847
969,,,5037627667
970,,,4295905108
971,,,4295906153
972,,,4295903104
973,,,5040186364
974,,,4295913845
975,,,4295909064
976,,,4295902718
977,,,4297160277
978,1.0,18.438,4295899533
979,,,5045821058
980,,,4295903874
981,,,5041064108
982,,,4295903896
983,,,5071081317
984,,,4295906238
985,,,4295903916
986,,,4295903910
987,,,4295911970
988,,,4295901526
989,,,4298065499
990,,,4295915818
991,,,4295903931
992,,,4297034757
993,,,4295903939
994,1.0,0.0,5000037947
995,,,4295904469
996,,,4295903946
997,,,4295906381
998,,,4295903947
999,,,4295900268
1000,,,4295903216
1001,,,4295899731
1002,,,4295906402
1003,,,4297297477
1004,,,4295903961
1005,,,4295903960
1006,,,4295906431
1007,,,4295912126
1008,,,4295913368
1009,,,4295912058
1010,1.0,1.652,4295906442
1011,,,5001113817
1012,,,4295906509
1013,,,4295903132
1014,,,4295935222
1015,,,4297406905
1016,,,5067498187
1017,1.0,3.516,4295904023
1018,,,4295904043
1019,,,5040053599
1020,,,4295903161
1021,,,4295903128
1022,1.0,30.417,4295904061
1023,,,4295904067
1024,,,4295906595
1025,,,4295900281
1026,,,4295905104
1027,,,5042943945
1028,1.0,13.362,4295911963
1029,,,4295904086
1030,,,4295904089
1031,,,5001208951
1032,,,4295904170
1033,,,4295904141
1034,,,5083821503
1035,,,4295904159
1036,,,4295906693
1037,1.0,53.625,4295904171
1038,,,5046390586
1039,,,5040250025
1040,,,4295906709
1041,1.0,13.333,4295903148
1042,,,4295912159
1043,,,5001815447
1044,,,4295908614
1045,,,4296262603
1046,,,4295904196
1047,,,4295906733
1048,,,4296368740
1049,,,4295906763
1050,,,4295904216
1051,,,4295906783
1052,,,4295902738
1053,,,4295904307
1054,1.0,33.625,4295904309
1055,,,4295904318
1056,,,4295906862
1057,,,5052795406
1058,,,5052135353
1059,,,5044340396
1060,1.0,16.071,5000021791
1061,1.0,39.1,4295904341
1062,,,4295913981
1063,,,4295906904
1064,,,5083144032
1065,1.0,35.156,4295903052
1066,,,4295904371
1067,,,5041978269
1068,1.0,36.5,4295904369
1069,,,5083761147
1070,,,4295899858
1071,,,4297699947
1072,,,4295911969
1073,,,4295906961
1074,,,4295906978
1075,1.0,24.333,4295904406
1076,,,4295912186
1077,,,5037932217
1078,,,4295904414
1079,,,5000634824
1080,1.0,18.292,4295904432
1081,,,4295862576
1082,,,4295904442
1083,,,4295904450
1084,,,4295904473
1085,,,4295915617
1086,,,4295904476
1087,,,4295904482
1088,,,4295904477
1089,,,4295902520
1090,,,4295908221
1091,1.0,45.344,4295904499
1092,,,4295912188
1093,,,4295904886
1094,,,4295912198
1095,,,4295904529
1096,,,4295907168
1097,,,4295907171
1098,,,4295904528
1099,,,5066596648
1100,,,4295911073
1101,,,4295903805
1102,1.0,34.458,4295899791
1103,,,5042221932
1104,1.0,21.423,4295904557
1105,,,4295912211
1106,,,4295904572
1107,,,8589934167
1108,,,4295907376
1109,,,4295902158
1110,,,4295907381
1111,,,5039926532
1112,,,4295903955
1113,1.0,17.375,4295904620
1114,,,4295907402
1115,1.0,6.228,4295907415
1116,,,4295908065
1117,,,4295904636
1118,,,4295914405
1119,,,5000795447
1120,,,4295907460
1121,,,4295904652
1122,,,4295916023
1123,,,5068343942
1124,,,4295904703
1125,,,4295904675
1126,1.0,3.0,4295904676
1127,,,4295904686
1128,,,4295907525
1129,,,4295912229
1130,,,4295968965
1131,,,4296000356
1132,,,4295903206
1133,,,4295907559
1134,,,5045870012
1135,1.0,61.208,4295904718
1136,,,4295904722
1137,,,5036190505
1138,,,4295907828
1139,1.0,3.5,4295907655
1140,1.0,0.0,4295901744
1141,,,4295904769
1142,,,4295903263
1143,1.0,0.5,4295901925
1144,,,4295904782
1145,,,5068057414
1146,,,4295904781
1147,,,5042255248
1148,,,4295907706
1149,,,4295904788
1150,,,4295904793
1151,1.0,0.0,8589934220
1152,,,4295904812
1153,,,4295907752
1154,,,4295907751
1155,,,5046043341
1156,,,4295907765
1157,,,4295904818
1158,,,4295904835
1159,,,4295904837
1160,,,4297900917
1161,,,4295904844
1162,,,4295904842
1163,,,4295907815
1164,,,4295904495
1165,,,5052136396
1166,,,4295907833
1167,,,4296658618
1168,,,4295915633
1169,,,4295907871
1170,1.0,0.0,8589934318
1171,,,5000388033
1172,,,4295904914
1173,,,4295904924
1174,,,5040694674
1175,,,4295905486
1176,,,4295908678
1177,,,4295904934
1178,,,5038065579
1179,,,4295903239
1180,,,4295904951
1181,,,5000598124
1182,,,4295904973
1183,1.0,24.5,4295908005
1184,1.0,2.516,4295904976
1185,,,4295908010
1186,,,4295904996
1187,,,4295905000
1188,,,4295908075
1189,,,5042214022
1190,1.0,15.406,4295905023
1191,,,4295905029
1192,,,4295900188
1193,1.0,27.045,4295912282
1194,,,4295905055
1195,,,4295905068
1196,,,5000072036
1197,,,4295908164
1198,,,5068324886
1199,,,5037345940
1200,,,5052137706
1201,1.0,29.844,4295905141
1202,,,4295905170
1203,1.0,5.899,8589934183
1204,,,5037473967
1205,,,5055475912
1206,,,5053445407
1207,,,4295905161
1208,,,4295912318
1209,,,4295905175
1210,,,4295915261
1211,,,5046300101
1212,,,5065226047
1213,,,4295905199
1214,,,4295905202
1215,,,5038081551
1216,,,4295905210
1217,,,4295908306
1218,,,4295911976
1219,,,4298051902
1220,,,4295908317
1221,,,5035523437
1222,,,5057776667
1223,,,4298015179
1224,,,5052137229
1225,,,4295905292
1226,,,5037622213
1227,,,4295912320
1228,1.0,33.125,4295905298
1229,,,4295907310
1230,,,4295905311
1231,,,4295905309
1232,,,4295905315
1233,1.0,7.382,8589934175
1234,,,5083423579
1235,,,4295912317
1236,,,4295905332
1237,1.0,17.5,5063196140
1238,,,4295903255
1239,,,4296253209
1240,,,4295914758
1241,,,4295904627
1242,,,5035774320
1243,1.0,47.125,4295905127
1244,,,5044027706
1245,,,5037658928
1246,,,5036689323
1247,,,5038054958
1248,,,4295889099
1249,,,4295888469
1250,,,4295889088
1251,,,4295889097
1252,,,4295889042
1253,,,4295888648
1254,,,4295888586
1255,,,4295888681
1256,,,4295888651
1257,,,4295889278
1258,,,4295888632
1259,,,4295889153
1260,,,4295888504
1261,,,4295889219
1262,,,4295888630
1263,,,4296325663
1264,,,4295888654
1265,,,5000444809
1266,,,5064609880
1267,,,4295888679
1268,,,5057811904
1269,,,5028043592
1270,,,4295893461
1271,,,4295893508
1272,,,4295893470
1273,,,4295945554
1274,,,4295893476
1275,,,4295893479
1276,,,4295893441
1277,,,4296274964
1278,,,5083530705
1279,,,5046656061
1280,,,4295893493
1281,,,4295904888
1282,,,4295859007
1283,,,4295858976
1284,,,5050702133
1285,,,4298007739
1286,,,4295856983
1287,,,4295858761
1288,,,4295856152
1289,,,4297805897
1290,,,4295857272
1291,,,4295858398
1292,1.0,4.728,5000055834
1293,,,4295857405
1294,,,4295857460
1295,,,4295857447
1296,,,4295856620
1297,,,4295856601
1298,,,4295856917
1299,,,5000260289
1300,,,4295856249
1301,,,4295857141
1302,,,5000088867
1303,,,5083509187
1304,,,4295856627
1305,,,4295856585
1306,,,4295857124
1307,,,5045505377
1308,,,4295857433
1309,,,4295859421
1310,,,8589934262
1311,,,4295859381
1312,,,4295859531
1313,,,4295859541
1314,,,4295859326
1315,,,4295871244
1316,,,4295871682
1317,,,4295871672
1318,,,4295871064
1319,,,4295871038
1320,,,4295870917
1321,,,4295871725
1322,,,4295871555
1323,1.0,2.27,4298042021
1324,,,4295871566
1325,,,4295871154
1326,1.0,12.0,4295864494
1327,,,4295871543
1328,,,4295871256
1329,,,5000604622
1330,1.0,4.834,4295859689
1331,1.0,15.141,5000053637
1332,,,4295859731
1333,,,4295860295
1334,,,4297320527
1335,,,4295859739
1336,,,4295860294
1337,,,4295859808
1338,,,5000004542
1339,,,4295859917
1340,1.0,,4295859722
1341,1.0,31.063,4295860302
1342,,,4295860040
1343,,,4296141085
1344,,,4295859763
1345,,,5000809539
1346,,,4295860057
1347,,,4295860274
1348,,,5000060474
1349,,,4295860164
1350,,,4295859761
1351,,,4295860043
1352,,,5076419892
1353,,,5000491274
1354,,,4295860844
1355,,,5076694196
1356,,,5001317745
1357,1.0,10.111,4295860596
1358,1.0,7.267,4295860592
1359,,,5066630647
1360,,,4295861073
1361,,,5051003308
1362,1.0,0.5,4295860600
1363,,,4295860595
1364,,,5057567349
1365,,,4295861343
1366,,,4295860626
1367,,,4295860606
1368,,,5082075678
1369,,,5086690639
1370,,,4295861296
1371,,,4295860623
1372,,,4295862540
1373,,,5000631312
1374,,,4295861147
1375,,,5037844900
1376,,,4295862751
1377,,,4295861309
1378,,,4295862904
1379,,,5086776120
1380,,,4295861140
1381,,,5083507817
1382,,,5037474279
1383,,,5001584559
1384,1.0,4.092,8589934213
1385,,,4295861310
1386,,,4295862910
1387,,,4295861257
1388,,,4295861769
1389,1.0,8.304,4295862902
1390,,,5087009162
1391,,,4295861508
1392,,,4295890717
1393,1.0,31.083,4295890576
1394,,,4295890620
1395,,,4295890800
1396,,,5000030891
1397,,,4295890904
1398,,,4296618369
1399,,,4295890591
1400,,,5068075938
1401,,,5066538532
1402,,,5000073936
1403,,,4295863327
1404,,,4295863329
1405,,,4295863332
1406,,,4295864615
1407,,,4295865534
1408,,,4295863798
1409,,,4295864656
