nace_code,flag_direct,flag_indirect
20.30,0.0,0.0
20.41,0.0,1.0
20.42,0.0,1.0
20.51,0.0,0.0
20.52,0.0,0.0
20.53,0.0,0.0
20.59,0.0,0.0
20.60,0.0,0.0
21.10,0.0,0.0
21.20,0.0,0.0
22.11,0.0,0.0
22.19,0.0,0.0
22.21,0.0,0.0
22.22,0.0,0.0
22.23,0.0,0.0
22.29,0.0,0.0
23.11,0.0,0.0
23.12,0.0,0.0
23.13,0.0,0.0
23.14,0.0,0.0
23.19,0.0,0.0
23.20,0.0,0.0
23.31,0.0,0.0
23.32,0.0,0.0
23.41,0.0,0.0
23.42,0.0,0.0
23.43,0.0,0.0
23.44,0.0,0.0
23.49,0.0,0.0
23.51,0.0,0.0
23.52,0.0,0.0
23.61,0.0,0.0
23.62,0.0,0.0
23.63,0.0,0.0
23.64,0.0,0.0
23.65,0.0,0.0
23.69,0.0,0.0
23.70,0.0,0.0
23.91,0.0,0.0
23.99,0.0,0.0
24.10,1.0,0.0
24.20,1.0,0.0
24.31,1.0,0.0
24.32,1.0,0.0
24.33,1.0,0.0
24.34,1.0,0.0
24.41,1.0,0.0
24.42,1.0,0.0
24.43,1.0,0.0
24.44,1.0,0.0
24.45,1.0,0.0
24.46,1.0,0.0
24.51,1.0,0.0
24.52,1.0,0.0
24.53,1.0,0.0
24.54,1.0,0.0
25.11,0.0,0.0
25.12,0.0,0.0
25.21,0.0,0.0
25.29,0.0,0.0
25.30,0.0,0.0
25.40,0.0,0.0
25.50,1.0,0.0
25.61,1.0,0.0
25.62,0.0,0.0
25.71,0.0,0.0
25.72,0.0,0.0
25.73,0.0,0.0
25.91,0.0,0.0
25.92,0.0,0.0
25.93,0.0,0.0
25.94,0.0,0.0
25.99,1.0,0.0
26.11,0.0,0.0
26.12,0.0,0.0
26.20,0.0,0.0
26.30,0.0,0.0
26.40,0.0,0.0
26.51,0.0,0.0
26.52,0.0,0.0
26.60,0.0,0.0
26.70,0.0,0.0
26.80,0.0,0.0
27.11,0.0,0.0
27.12,0.0,0.0
27.20,0.0,0.0
27.31,0.0,0.0
27.32,0.0,0.0
27.33,0.0,0.0
27.40,0.0,0.0
27.51,0.0,0.0
27.52,0.0,0.0
27.90,0.0,0.0
28.11,0.0,0.0
28.12,0.0,0.0
28.13,0.0,0.0
28.14,0.0,0.0
28.15,0.0,0.0
28.21,0.0,0.0
28.22,0.0,0.0
28.23,0.0,0.0
28.24,0.0,0.0
28.25,0.0,0.0
28.29,0.0,0.0
28.30,0.0,0.0
28.41,0.0,0.0
28.49,0.0,0.0
28.91,0.0,0.0
28.92,0.0,0.0
28.93,0.0,0.0
28.94,0.0,0.0
28.95,0.0,0.0
28.96,0.0,0.0
28.99,0.0,0.0
29.10,0.0,1.0
29.20,0.0,0.0
29.31,0.0,0.0
29.32,0.0,0.0
30.11,0.0,0.0
30.12,0.0,0.0
30.20,0.0,0.0
30.30,0.0,0.0
30.40,0.0,0.0
30.91,0.0,0.0
30.92,0.0,0.0
30.99,0.0,0.0
31.01,0.0,0.0
31.02,0.0,1.0
31.03,0.0,1.0
31.09,0.0,1.0
31.0,0.0,1.0
32.11,1.0,0.0
32.12,0.0,1.0
32.13,0.0,1.0
32.20,0.0,0.0
32.30,0.0,0.0
32.40,0.0,0.0
32.50,0.0,0.0
32.99,0.0,0.0
33.11,0.0,0.0
33.12,0.0,0.0
33.13,0.0,0.0
33.14,0.0,0.0
33.15,0.0,0.0
33.16,0.0,0.0
33.17,0.0,0.0
33.19,0.0,0.0
33.20,0.0,0.0
34.34,0.0,1.0
35.11,0.0,1.0
35.12,0.0,0.0
35.13,0.0,0.0
35.14,0.0,0.0
35.21,1.0,0.0
35.22,0.0,0.0
35.23,0.0,0.0
35.30,0.0,0.0
36.00,0.0,0.0
37.00,0.0,0.0
38.11,0.0,0.0
38.12,0.0,0.0
38.21,0.0,0.0
38.22,0.0,0.0
38.31,0.0,0.0
38.32,0.0,0.0
39.00,0.0,0.0
41.10,0.0,1.0
41.20,0.0,0.0
42.11,0.0,0.0
42.12,0.0,0.0
42.13,0.0,0.0
42.21,0.0,0.0
42.22,0.0,0.0
42.91,0.0,0.0
42.99,0.0,0.0
43.11,0.0,0.0
43.12,0.0,0.0
43.13,0.0,0.0
43.21,0.0,0.0
43.22,0.0,0.0
43.29,0.0,0.0
